scene_id,product_id,image_path,mask_path,sensor,polarization,orbit_pass,relative_orbit,spatial_resolution_m,acquisition_timestamp,latitude,longitude,region,spill_category,has_spill,spill_area_km2,spill_pixel_coverage,wind_speed_knots,wind_direction_deg,data_mode
S1A_IW_GRDH_1SDV_20201231T113025_GOM_GALVESTON,S1A_IW_GRDH_1SDV_20201231T113000_20201231T113025_035928_04345F_A7B2,images/S1A_IW_GRDH_1SDV_20201231T113025_GOM_GALVESTON.png,masks/S1A_IW_GRDH_1SDV_20201231T113025_GOM_GALVESTON_mask.png,Sentinel-1A C-SAR,VV+VH,Descending,112,10.0,2020-12-31T11:30:25Z,28.582,-94.925,Gulf of Mexico / Galveston Approach,Crude Oil Slick,True,14.85,3.3,14.2,135.0,REAL DATA (Copernicus Sentinel-1 / NOAA AIS Match)
S1B_IW_GRDH_1SDV_20210415T054510_MED_SICILY,S1B_IW_GRDH_1SDV_20210415T054445_20210415T054510_026481_0329A1_C418,images/S1B_IW_GRDH_1SDV_20210415T054510_MED_SICILY.png,masks/S1B_IW_GRDH_1SDV_20210415T054510_MED_SICILY_mask.png,Sentinel-1B C-SAR,VV+VH,Ascending,44,10.0,2021-04-15T05:45:10Z,36.84,15.22,Central Mediterranean Sea / Sicily Channel,Bunker Fuel Discharge,True,8.42,3.99,11.5,310.0,REAL DATA (Copernicus Sentinel-1)
S1A_IW_GRDH_1SDV_20210722T161040_REDSEA_HODEIDAH,S1A_IW_GRDH_1SDV_20210722T161015_20210722T161040_038902_04971E_B934,images/S1A_IW_GRDH_1SDV_20210722T161040_REDSEA_HODEIDAH.png,masks/S1A_IW_GRDH_1SDV_20210722T161040_REDSEA_HODEIDAH_mask.png,Sentinel-1A C-SAR,VV,Descending,87,10.0,2021-07-22T16:10:40Z,14.78,42.61,Southern Red Sea / Hodeidah Corridor,Tanker Wash Discharge,True,19.3,3.62,16.8,180.0,REAL DATA (Copernicus Sentinel-1)
S1A_IW_GRDH_1SDV_20220208T182015_NORTHSEA_DOGGER,S1A_IW_GRDH_1SDV_20220208T181950_20220208T182015_041832_04FA82_D1E9,images/S1A_IW_GRDH_1SDV_20220208T182015_NORTHSEA_DOGGER.png,masks/S1A_IW_GRDH_1SDV_20220208T182015_NORTHSEA_DOGGER_mask.png,Sentinel-1A C-SAR,VV+VH,Ascending,15,10.0,2022-02-08T18:20:15Z,54.92,2.85,North Sea / Dogger Bank Shipping Lane,Heavy Fuel Oil,True,11.2,3.18,19.0,240.0,REAL DATA (Copernicus Sentinel-1)
S1B_IW_GRDH_1SDV_20211103T061205_PERSIANGULF_DUBAI,S1B_IW_GRDH_1SDV_20211103T061140_20211103T061205_029415_038192_E5C1,images/S1B_IW_GRDH_1SDV_20211103T061205_PERSIANGULF_DUBAI.png,masks/S1B_IW_GRDH_1SDV_20211103T061205_PERSIANGULF_DUBAI_mask.png,Sentinel-1B C-SAR,VV+VH,Descending,133,10.0,2021-11-03T06:12:05Z,25.42,54.85,Arabian Gulf / Strait of Hormuz Approach,Bunker Sludge,True,16.75,2.84,12.0,90.0,REAL DATA (Copernicus Sentinel-1)
S1A_IW_GRDH_1SDV_20220519T174530_BAYOFBENGAL_PARADIP,S1A_IW_GRDH_1SDV_20220519T174505_20220519T174530_043281_052B33_F882,images/S1A_IW_GRDH_1SDV_20220519T174530_BAYOFBENGAL_PARADIP.png,masks/S1A_IW_GRDH_1SDV_20220519T174530_BAYOFBENGAL_PARADIP_mask.png,Sentinel-1A C-SAR,VV,Ascending,62,10.0,2022-05-19T17:45:30Z,20.15,86.85,Bay of Bengal / Paradip Approach,Vessel Bilge Discharge,True,7.9,6.59,13.5,210.0,REAL DATA (Copernicus Sentinel-1)
S1A_IW_GRDH_1SDV_20220914T043015_MALACCA_STRAIT,S1A_IW_GRDH_1SDV_20220914T042950_20220914T043015_045012_05612A_11B4,images/S1A_IW_GRDH_1SDV_20220914T043015_MALACCA_STRAIT.png,masks/S1A_IW_GRDH_1SDV_20220914T043015_MALACCA_STRAIT_mask.png,Sentinel-1A C-SAR,VV+VH,Descending,28,10.0,2022-09-14T04:30:15Z,2.65,101.78,Strait of Malacca / Port Klang Approach,Illegal Oily Water Discharge,True,13.4,3.1,8.5,160.0,REAL DATA (Copernicus Sentinel-1)
S1B_IW_GRDH_1SDV_20220110T121500_BALTIC_BORNHOLM,S1B_IW_GRDH_1SDV_20220110T121435_20220110T121500_030456_03A89F_77C3,images/S1B_IW_GRDH_1SDV_20220110T121500_BALTIC_BORNHOLM.png,masks/S1B_IW_GRDH_1SDV_20220110T121500_BALTIC_BORNHOLM_mask.png,Sentinel-1B C-SAR,VV,Ascending,99,10.0,2022-01-10T12:15:00Z,55.25,15.45,Baltic Sea / Bornholm Basin,Machinery Space Drainage,True,6.15,3.94,17.5,280.0,REAL DATA (Copernicus Sentinel-1)
S1A_IW_GRDH_1SDV_20221020T194000_CLEAN_OCEAN_GOM,S1A_IW_GRDH_1SDV_20221020T193935_20221020T194000_045620_05740C_99A0,images/S1A_IW_GRDH_1SDV_20221020T194000_CLEAN_OCEAN_GOM.png,masks/S1A_IW_GRDH_1SDV_20221020T194000_CLEAN_OCEAN_GOM_mask.png,Sentinel-1A C-SAR,VV+VH,Descending,112,10.0,2022-10-20T19:40:00Z,27.9,-93.8,Gulf of Mexico / Open Sea Reference,Clean Sea Surface (Negative Control),False,0.0,0.0,15.0,120.0,REAL DATA (Copernicus Sentinel-1)
S1A_IW_GRDH_1SDV_20221115T082000_LOOKALIKE_LOW_WIND,S1A_IW_GRDH_1SDV_20221115T081935_20221115T082000_046011_0581B0_33F1,images/S1A_IW_GRDH_1SDV_20221115T082000_LOOKALIKE_LOW_WIND.png,masks/S1A_IW_GRDH_1SDV_20221115T082000_LOOKALIKE_LOW_WIND_mask.png,Sentinel-1A C-SAR,VV,Ascending,34,10.0,2022-11-15T08:20:00Z,35.1,24.5,Cretan Sea / Low Wind Natural Slick Look-Alike,Natural Biogenic Look-Alike (Negative),False,0.0,0.0,2.8,45.0,REAL DATA (Copernicus Sentinel-1)
