scene_id,split,filename,image_path,mask_path,height,width,has_spill,spill_pixels,spill_area_ratio,estimated_area_km2,sensor
palsar_0,train,palsar_0.png,images/train/palsar_0.png,masks/train/palsar_0.png,256,256,True,2272,0.03467,0.2272,ALOS PALSAR / SAR C-Band
palsar_1,train,palsar_1.png,images/train/palsar_1.png,masks/train/palsar_1.png,256,256,True,3964,0.06049,0.3964,ALOS PALSAR / SAR C-Band
palsar_10,train,palsar_10.png,images/train/palsar_10.png,masks/train/palsar_10.png,256,256,True,12899,0.19682,1.2899,ALOS PALSAR / SAR C-Band
palsar_100,train,palsar_100.png,images/train/palsar_100.png,masks/train/palsar_100.png,256,256,True,6525,0.09956,0.6525,ALOS PALSAR / SAR C-Band
palsar_1000,train,palsar_1000.png,images/train/palsar_1000.png,masks/train/palsar_1000.png,256,256,True,6518,0.09946,0.6518,ALOS PALSAR / SAR C-Band
palsar_1001,train,palsar_1001.png,images/train/palsar_1001.png,masks/train/palsar_1001.png,256,256,True,8556,0.13055,0.8556,ALOS PALSAR / SAR C-Band
palsar_1002,train,palsar_1002.png,images/train/palsar_1002.png,masks/train/palsar_1002.png,256,256,True,1617,0.02467,0.1617,ALOS PALSAR / SAR C-Band
palsar_1003,train,palsar_1003.png,images/train/palsar_1003.png,masks/train/palsar_1003.png,256,256,True,2459,0.03752,0.2459,ALOS PALSAR / SAR C-Band
palsar_1004,train,palsar_1004.png,images/train/palsar_1004.png,masks/train/palsar_1004.png,256,256,True,8049,0.12282,0.8049,ALOS PALSAR / SAR C-Band
palsar_1005,train,palsar_1005.png,images/train/palsar_1005.png,masks/train/palsar_1005.png,256,256,True,20892,0.31879,2.0892,ALOS PALSAR / SAR C-Band
palsar_1006,train,palsar_1006.png,images/train/palsar_1006.png,masks/train/palsar_1006.png,256,256,True,17331,0.26445,1.7331,ALOS PALSAR / SAR C-Band
palsar_1007,train,palsar_1007.png,images/train/palsar_1007.png,masks/train/palsar_1007.png,256,256,False,0,0.0,0.0,ALOS PALSAR / SAR C-Band
palsar_1008,train,palsar_1008.png,images/train/palsar_1008.png,masks/train/palsar_1008.png,256,256,True,2081,0.03175,0.2081,ALOS PALSAR / SAR C-Band
palsar_1009,train,palsar_1009.png,images/train/palsar_1009.png,masks/train/palsar_1009.png,256,256,True,12534,0.19125,1.2534,ALOS PALSAR / SAR C-Band
palsar_101,train,palsar_101.png,images/train/palsar_101.png,masks/train/palsar_101.png,256,256,True,1971,0.03008,0.1971,ALOS PALSAR / SAR C-Band
palsar_1010,train,palsar_1010.png,images/train/palsar_1010.png,masks/train/palsar_1010.png,256,256,True,21400,0.32654,2.14,ALOS PALSAR / SAR C-Band
palsar_1011,train,palsar_1011.png,images/train/palsar_1011.png,masks/train/palsar_1011.png,256,256,False,0,0.0,0.0,ALOS PALSAR / SAR C-Band
palsar_1012,train,palsar_1012.png,images/train/palsar_1012.png,masks/train/palsar_1012.png,256,256,False,0,0.0,0.0,ALOS PALSAR / SAR C-Band
palsar_1013,train,palsar_1013.png,images/train/palsar_1013.png,masks/train/palsar_1013.png,256,256,True,16699,0.25481,1.6699,ALOS PALSAR / SAR C-Band
palsar_1014,train,palsar_1014.png,images/train/palsar_1014.png,masks/train/palsar_1014.png,256,256,True,7812,0.1192,0.7812,ALOS PALSAR / SAR C-Band
palsar_1015,train,palsar_1015.png,images/train/palsar_1015.png,masks/train/palsar_1015.png,256,256,True,5459,0.0833,0.5459,ALOS PALSAR / SAR C-Band
palsar_1016,train,palsar_1016.png,images/train/palsar_1016.png,masks/train/palsar_1016.png,256,256,False,0,0.0,0.0,ALOS PALSAR / SAR C-Band
palsar_1017,train,palsar_1017.png,images/train/palsar_1017.png,masks/train/palsar_1017.png,256,256,True,5331,0.08134,0.5331,ALOS PALSAR / SAR C-Band
palsar_1018,train,palsar_1018.png,images/train/palsar_1018.png,masks/train/palsar_1018.png,256,256,True,6132,0.09357,0.6132,ALOS PALSAR / SAR C-Band
palsar_1019,train,palsar_1019.png,images/train/palsar_1019.png,masks/train/palsar_1019.png,256,256,True,200,0.00305,0.02,ALOS PALSAR / SAR C-Band
palsar_102,train,palsar_102.png,images/train/palsar_102.png,masks/train/palsar_102.png,256,256,True,3442,0.05252,0.3442,ALOS PALSAR / SAR C-Band
palsar_1020,train,palsar_1020.png,images/train/palsar_1020.png,masks/train/palsar_1020.png,256,256,True,10026,0.15298,1.0026,ALOS PALSAR / SAR C-Band
palsar_1021,train,palsar_1021.png,images/train/palsar_1021.png,masks/train/palsar_1021.png,256,256,False,0,0.0,0.0,ALOS PALSAR / SAR C-Band
palsar_1022,train,palsar_1022.png,images/train/palsar_1022.png,masks/train/palsar_1022.png,256,256,True,3218,0.0491,0.3218,ALOS PALSAR / SAR C-Band
palsar_1023,train,palsar_1023.png,images/train/palsar_1023.png,masks/train/palsar_1023.png,256,256,True,885,0.0135,0.0885,ALOS PALSAR / SAR C-Band
palsar_1024,train,palsar_1024.png,images/train/palsar_1024.png,masks/train/palsar_1024.png,256,256,True,27509,0.41975,2.7509,ALOS PALSAR / SAR C-Band
palsar_1025,train,palsar_1025.png,images/train/palsar_1025.png,masks/train/palsar_1025.png,256,256,True,14586,0.22256,1.4586,ALOS PALSAR / SAR C-Band
palsar_1026,train,palsar_1026.png,images/train/palsar_1026.png,masks/train/palsar_1026.png,256,256,True,22984,0.35071,2.2984,ALOS PALSAR / SAR C-Band
palsar_1027,train,palsar_1027.png,images/train/palsar_1027.png,masks/train/palsar_1027.png,256,256,True,1513,0.02309,0.1513,ALOS PALSAR / SAR C-Band
palsar_1028,train,palsar_1028.png,images/train/palsar_1028.png,masks/train/palsar_1028.png,256,256,True,16273,0.24831,1.6273,ALOS PALSAR / SAR C-Band
palsar_1029,train,palsar_1029.png,images/train/palsar_1029.png,masks/train/palsar_1029.png,256,256,False,0,0.0,0.0,ALOS PALSAR / SAR C-Band
palsar_103,train,palsar_103.png,images/train/palsar_103.png,masks/train/palsar_103.png,256,256,True,17390,0.26535,1.739,ALOS PALSAR / SAR C-Band
palsar_1030,train,palsar_1030.png,images/train/palsar_1030.png,masks/train/palsar_1030.png,256,256,True,4229,0.06453,0.4229,ALOS PALSAR / SAR C-Band
